city;type;name
lyon;monument;Cathédrale Saint Jean
lyon;monument;Horloge astronomique
lyon;monument;Basilique de Fourvière
lyon;monument;Tour métallique de Fourvière
lyon;monument;Ruines du Théâtre Antique
lyon;monument;Statue de Louis XIV
lyon;monument;Fontaine Bartholdi
lyon;monument;Palais de la Bourse
lyon;monument;Opéra
lyon;monument;Hôtel de Ville
lyon;lieu;Quartier du Vieux Lyon
lyon;lieu;Cours et Traboules
lyon;lieu;Traboule de la Tour Rose
lyon;lieu;Jardins suspendus de Gadagne
lyon;lieu;Cour des Voraces
lyon;lieu; La Ficelle(Funiculaire)
lyon;lieu; Place Bellecour
lyon;lieu; Grande Roue de Bellecour
lyon;lieu; Presqu’ile
lyon;lieu; Place des Jacobins
lyon;lieu; Parc de la tête d’Or
lyon;lieu; Fresque des Lyonnais
lyon;museum;Musée Gadagne
lyon;museum; Musée de l’Histoire de Lyon
lyon;museum; Musée des arts de la Marionnette
lyon;museum; Musée Miniature et Cinéma
lyon;museum; Maison des Canuts
lyon;museum; Jardin Botanique
lyon;museum; Parc Zoologique
lyon;museum; Musée des Confluences
lyon;museum; Musée des Beaux-arts
lyon;food; La Rosette
lyon;food; La Salade lyonnaise
lyon;food; Le saucisson brioché
lyon;food; Le Tablier de sapeur
lyon;food; Le Poulet Célestine
lyon;food; Les Quenelles
lyon;food; Le Saint Marcellin
lyon;food; La cervelle des canuts
lyon;food; La tarte aux pralines
lyon;food; Les Bugnes
strasbourg;monument; Cathédrale Notre Dame
strasbourg;monument; Horloge astronomique
strasbourg;monument; Eglise Saint Thomas
strasbourg;monument; Eglise Saint Pierre Le Vieux
strasbourg;monument; Eglise Saint Paul
strasbourg;monument; Palais Rohan
strasbourg;monument; Théâtre National
strasbourg;monument; Barrage Vauban
strasbourg;lieu; Kammerzell
strasbourg;lieu; Quartier de la Petite France
strasbourg;lieu; Ponts couverts
strasbourg;lieu; Place Broglie
strasbourg;lieu; Parc de l’Orangerie
strasbourg;lieu; Parlement Européen
strasbourg;lieu; Château du Haut-Kœnigsbourg
strasbourg;lieu; Place Kléber
strasbourg;museum; Musée Archéologique
strasbourg;museum; Musée des Beaux-Arts
strasbourg;museum; Musée des arts décoratifs
strasbourg;museum; Musée d’art moderne et contemporain(MAMCS)
strasbourg;museum; Maison historique de Strasbourg
strasbourg;museum; Musée Zoologique
strasbourg;museum; Musée Alsacien
strasbourg;food; Le baeckeoffe
strasbourg;food; Le Flammekueche
strasbourg;food; La choucroute
strasbourg;food; Le Bretzel
strasbourg;food; Les Spatzles
strasbourg;food; La Mannala
strasbourg;food; Le Kougelhopf
strasbourg;food; Le Pain d’Epice
strasbourg;food; La tarte flambée
strasbourg;food; Les vins d’Alsace
marseille;monument; Basilique Notre Dame de la Garde
marseille;monument; L’Hôtel de Ville
marseille;monument; Château d’If
marseille;monument; Cathédrale la Major
marseille;monument; Palais Longchamp
marseille;monument; Arc de Triomphe
marseille;monument; Abbaye Saint
marseille;monument; La Vieille Charité-Victor
marseille;monument; L’Opéra de Marseille
marseille;monument; Fort Saint Jean
marseille;lieu; Canebière
marseille;lieu; Vieux-Port
marseille;lieu; Le Panier
marseille;lieu; Les Calanques
marseille;lieu; Les Plages du Prado
marseille;lieu; Le Parc Borelly
marseille;lieu; Le Cours Julien
marseille;lieu; Le Vallon des Auffes
marseille;lieu; La Corniche JF Kennedy
marseille;lieu; Le Vélodrome
marseille;museum; Le MuCEM
marseille;museum; Le Musée du Savon
marseille;museum; Le Musée de l’histoire de Marseille
marseille;museum; Le Musée des Beaux-Arts
marseille;museum; Museum d’Histoire Naturelle
marseille;museum; Musée d’Art Contemporain
marseille;museum; Le centre de la Vieille Charité
marseille;museum; Musée Regards de Provence
marseille;museum; Musée des Docks Romains
marseille;food; Bouillabaisse
marseille;food; La soupe au Pistou
marseille;food; Le riz aux favouilles
marseille;food; La daube provençale
marseille;food; Les pieds et paquets
marseille;food; L’anchoïade
marseille;food; Les encornets farcis
marseille;food; Les panisses
