name;address;HH_start;HH_end;confidence_index;beers
A Grund;Budapest, Corvin sétány, 1082 Hongrie;17;19;1;{'Cheapest beer': {'HHprice': '1.05 €', 'nHHprice': '2.1 €', 'volume': '50'}}
A L'abordage;1 Quai de la Citadelle, 59140 Dunkerque, France;0;0;0;{'Cheapest beer': {'nHHprice': '4.5 €', 'volume': '50'}}
A La Bonne Cave;11 Rue de l'Espérance, 75013 Paris, France;0;0;0;{'Cheapest beer': {'HHprice': '3.5 €', 'volume': '50'}}
A La Folie;26 Avenue Corentin Cariou, 75019 Paris-19E-Arrondissement, France;0;0;3;{'Kronenbourg Tigre Bock': {'nHHprice': '6 €', 'volume': '50'}, '1664 Blanche': {'nHHprice': '7 €', 'volume': '50'}, 'Carlsberg': {'nHHprice': '7 €', 'volume': '50'}}
A La Folie;36 Rue Oberkampf, 75011 Paris, France;0;0;5;{'Cheapest beer': {'HHprice': '4.5 €', 'volume': '50'}}
A La Ville De Lyon;19 Rue de Lyon, 75012 Paris, France;0;0;2;{'Cheapest beer': {'nHHprice': '6.4 €', 'volume': '50'}}
A Mi Manera;Carrer del Parlament, 15, 08015 Barcelona, Espagne;0;0;0;{'Cheapest beer': {'nHHprice': '4.45 €', 'volume': '50'}}
A la Comète;102 Avenue de Fontainebleau, 94270 Le Kremlin-Bicêtre, France;0;0;1;{'Cheapest beer': {'nHHprice': '7.5 €', 'volume': '50'}}
AFK Bar;52 Rue de l'Université, 69007 Lyon, France;16;19;0;{'Cheapest beer': {'HHprice': '4 €', 'nHHprice': '5.5 €', 'volume': '50'}}
AKATHOR;32 Cours Saleya, 06300 Nice, France;0;0;0;{'Stella Artois': {'nHHprice': '5.5 €', 'volume': '50'}}
AUX DEUX ÉCUS;1 Place des 2 Écus, 75001 Paris-1ER-Arrondissement, Francia;17;20;0;{'Cheapest beer': {'HHprice': '6 €', 'nHHprice': '8.6 €', 'volume': '50'}}
Abattoir Café;1 Quai Charles Altorffer, 67000 Strasbourg, France;16;19;4;{'Cheapest beer': {'HHprice': '2.9 €', 'nHHprice': '5.2 €', 'volume': '50'}}
Abri Cotier;14 Rue de la Carrière, 56610 Arradon, France;0;0;0;{'Cheapest beer': {'nHHprice': '6 €', 'volume': '50'}}
Abri111;50 Cours du 14 Juillet, 47000 Agen, France;17;18;0;{'Cheapest beer': {'HHprice': '3 €', 'nHHprice': '4.4 €', 'volume': '50'}}
Absinthe;54 Rue de Turbigo, 75003 Paris, France;16;23;3;{'Cheapest beer': {'HHprice': '4.5 €', 'nHHprice': '6.9 €', 'volume': '50'}, 'Meteor': {'HHprice': '4.5 €', 'nHHprice': '7 €', 'volume': '50'}, 'Vedett Extra IPA': {'HHprice': '6 €', 'nHHprice': '8.6 €', 'volume': '50'}, 'La Chouffe': {'HHprice': '7 €', 'nHHprice': '8.6 €', 'volume': '50'}, 'Edelweiss Blanche': {'HHprice': '6 €', 'nHHprice': '8.5 €', 'volume': '50'}, 'Affligem': {'HHprice': '7 €', 'nHHprice': '8.5 €', 'volume': '50'}}
Académie De La Bière Cathédrale;29 Rue des Juifs, 67000 Strasbourg, France;16;18;0;{'Cheapest beer': {'HHprice': '5 €', 'nHHprice': '5.9 €', 'volume': '50'}}
Accademie De La Bière;43 Rue Lavoisier, 37000 Tours, France;19;21;0;{'Cheapest beer': {'HHprice': '3 €', 'nHHprice': '5.5 €', 'volume': '50'}}
Accasbel;20 Place Carnot, 69002 Lyon, France;0;0;1;{'Devil’s bit': {'nHHprice': '6.5 €', 'volume': '50'}, 'Althea': {'nHHprice': '7.2 €', 'volume': '50'}, 'The full irish': {'nHHprice': '8 €', 'volume': '50'}, 'Citra': {'nHHprice': '8 €', 'volume': '50'}, 'Sabotage': {'nHHprice': '8 €', 'volume': '50'}, 'Of foam and fury': {'nHHprice': '9 €', 'volume': '50'}, 'Oak king': {'nHHprice': '9.8 €', 'volume': '50'}, 'others': 'TBD'}
AdriaWien;Hollandstraße 8, 1020 Wien, Autriche;0;0;0;{'Stiegl Weisse': {'nHHprice': '3.9 €', 'volume': '50'}}
Afterwork;27 Grande Rue, 53000 Laval, France;16;19;3;{'Cheapest beer': {'HHprice': '4.5 €', 'nHHprice': '5 €', 'volume': '50'}}
Agadir Bar;197 Rue Saint-Denis, 75002 Paris, France;14;20;6;{'Cheapest beer': {'HHprice': '3.8 €', 'nHHprice': '3.8 €', 'volume': '50'}, 'Kronenbourg': {'HHprice': '3 €', 'volume': '25'}, 'Leffe Blonde': {'nHHprice': '5.8 €', 'volume': '50'}, '1664': {'nHHprice': '3 €', 'volume': '25'}, '1664 Blanche': {'nHHprice': '4 €', 'volume': '33'}, 'Casablanca': {'nHHprice': '5 €', 'volume': '33'}, 'Duvel': {'nHHprice': '5 €', 'volume': '33'}, 'others': 'TBD'}
Agnès Browns;131 Thomas St, Merchants Quay, Dublin 8, D08 P8H3, Ireland;0;0;0;{'Cheapest beer': {'nHHprice': '3.7 €', 'volume': '50'}}
Agora Bar;25 Rue des Tonneliers, 67000 Strasbourg, France;16;19;1;{'Cheapest beer': {'HHprice': '3 €', 'nHHprice': '5 €', 'volume': '50'}}
Aimé;116 Boulevard de Ménilmontant, 75020 Paris, France;16;21;2;{'Cheapest beer': {'HHprice': '6 €', 'nHHprice': '7 €', 'volume': '50'}}
