;Commune;DEpartement
2;13055;Marseille
3;69123;Lyon
4;31555;Toulouse
5;06088;Nice
6;44109;Nantes
7;34172;Montpellier
8;67482;Strasbourg
9;33063;Bordeaux
10;59350;Lille
11;35238;Rennes
12;51454;Reims
13;42218;Saint Etienne
14;83137;Toulon
15;76351;Le Havre
16;38185;Grenoble
17;21231;Dijon
18;49007;Angers
19;30189;Nimes
20;97411;Saint Denis
21;69266;Villeurbanne
22;63113;Clermont Ferrand
23;72181;Le Mans
24;13001;Aix en Provence
25;29019;Brest
26;37261;Tours
27;80021;Amiens
28;87085;Limoges
29;74010;Annecy
30;66136;Perpignan
31;92012;Boulogne Billancourt
32;45234;OrlEans
33;57463;Metz
34;25056;Besancon
35;93066;Saint Denis
36;95018;Argenteuil
37;76540;Rouen
38;93048;Montreuil
39;68224;Mulhouse
40;14118;Caen
41;97415;Saint Paul
42;54395;Nancy
43;59599;Tourcoing
44;59512;Roubaix
45;92050;Nanterre
46;94081;Vitry sur Seine
47;84007;Avignon
48;94028;CrEteil
49;86194;Poitiers
50;59183;Dunkerque
51;93001;Aubervilliers
52;78646;Versailles
53;93005;Aulnay sous Bois
54;92004;Asnieres sur Seine
55;92025;Colombes
56;97416;Saint Pierre
57;92026;Courbevoie
58;97209;FORT DE FRANCE (MARTINIQUE)
59;50129;Cherbourg en Cotentin
60;97422;Le Tampon
61;92063;Rueil Malmaison
62;94017;Champigny sur Marne
63;34032;BEziers
64;64445;Pau
65;17300;La Rochelle
66;94068;Saint Maur des FossEs
67;62193;Calais
68;6029;Cannes
69;6004;Antibes
70;97611;Mamoudzou
71;93029;Drancy
72;2A004;Ajaccio
73;33281;MErignac
74;44184;Saint Nazaire
75;68066;Colmar
76;92040;Issy les Moulineaux
77;93051;Noisy le Grand
78;91228;Evry Courcouronnes
79;69259;VEnissieux
80;95127;Cergy
81;18033;Bourges
82;92044;Levallois Perret
83;83126;La Seyne sur Mer
84;33318;Pessac
85;26362;Valence
86;59009;Villeneuve d Ascq
87;29232;Quimper
88;92002;Antony
89;94041;Ivry sur Seine
90;10387;Troyes
91;97302;Cayenne
92;92024;Clichy
93;82121;Montauban
94;92051;Neuilly sur Seine
95;73065;ChambEry
96;79191;Niort
97;95585;Sarcelles
98;93055;Pantin
99;56121;Lorient
100;93007;Le Blanc Mesnil
101;97409;Saint AndrE
102;60057;Beauvais
103;94046;Maisons Alfort
104;83069;Hyeres
105;93031;Epinay sur Seine
106;77284;Meaux
107;77108;Chelles
108;94076;Villejuif
109;11262;Narbonne
110;85191;La Roche sur Yon
111;49099;Cholet
112;2691;Saint Quentin
113;93008;Bobigny
114;97101;Les Abymes
115;97414;Saint Louis
116;93010;Bondy
117;56260;Vannes
118;92023;Clamart
119;94033;Fontenay sous Bois
120;83061;FrEjus
121;13004;Arles
122;78586;Sartrouville
123;91174;Corbeil Essonnes
124;64102;Bayonne
125;93070;Saint Ouen sur Seine
126;93071;Sevran
127;6027;Cagnes sur Mer
128;91377;Massy
129;6069;Grasse
