service_id,date,exception_type
7975,20200406,1
5278,20200404,1
5279,20200508,2
5279,20200501,2
5279,20200601,2
6702,20200508,2
6702,20200521,2
6702,20200522,2
6702,20200501,2
6702,20200601,2
13955,20200509,2
13955,20200502,2
13955,20200601,2
13956,20200414,1
13956,20200415,1
13956,20200416,1
13956,20200417,1
13956,20200420,1
13956,20200421,1
13956,20200422,1
13956,20200423,1
13956,20200424,1
13956,20200427,1
13956,20200601,2
13956,20200602,2
13957,20200413,1
13957,20200405,1
13957,20200412,1
13957,20200419,1
13957,20200426,1
13958,20200601,1
13959,20200403,1
13959,20200404,1
13959,20200406,1
13959,20200407,1
13959,20200408,1
13959,20200409,1
13959,20200410,1
13959,20200411,1
13959,20200414,1
13959,20200415,1
13959,20200416,1
13959,20200417,1
13959,20200418,1
13959,20200420,1
13959,20200421,1
13959,20200422,1
13959,20200423,1
13959,20200424,1
13959,20200425,1
13959,20200427,1
13959,20200413,2
13959,20200601,2
13959,20200602,2
13960,20200411,1
13960,20200414,1
13960,20200415,1
13960,20200416,1
13960,20200417,1
13960,20200418,1
13960,20200420,1
13960,20200421,1
13960,20200422,1
13960,20200423,1
13960,20200424,1
13960,20200425,1
13960,20200427,1
13960,20200413,2
13960,20200601,2
13960,20200602,2
4366,20200413,1
4366,20200405,1
4366,20200412,1
4366,20200419,1
4366,20200426,1
3000,20200601,1
5280,20200411,1
5280,20200414,1
5280,20200415,1
5280,20200416,1
5280,20200417,1
5280,20200418,1
5280,20200420,1
5280,20200421,1
5280,20200422,1
5280,20200423,1
5280,20200424,1
5280,20200425,1
5280,20200427,1
5280,20200413,2
5280,20200601,2
5280,20200602,2
8967,20200531,1
8967,20200412,1
7358,20200531,2
260,20200404,1
7357,20200405,1
8587,20200531,1
8587,20200412,1
8587,20200530,2
8587,20200418,2
131,20200530,1
1598,20200418,1
9184,20200601,1
9184,20200507,2
9184,20200520,2
9184,20200521,2
9184,20200430,2
9181,20200405,1
9181,20200412,1
9181,20200413,1
9181,20200415,1
9181,20200416,1
9181,20200419,1
9181,20200421,1
9181,20200422,1
9181,20200423,1
9181,20200426,1
9181,20200623,1
9181,20200624,1
9181,20200625,1
9181,20200628,1
9181,20200630,1
9181,20200701,1
9181,20200414,2
13961,20200413,1
13961,20200601,1
48,20200626,1
8979,20200515,1
8979,20200520,1
8979,20200529,1
8979,20200430,1
8979,20200507,1
8979,20200521,2
8979,20200528,2
13962,20200525,1
13962,20200526,1
13962,20200527,1
13962,20200528,1
13962,20200602,1
13962,20200603,1
13962,20200604,1
13962,20200608,1
13962,20200609,1
13962,20200610,1
13962,20200611,1
13962,20200615,1
13962,20200616,1
13962,20200617,1
13962,20200618,1
13962,20200622,1
13962,20200623,1
13962,20200624,1
13962,20200625,1
13962,20200629,1
13962,20200630,1
13962,20200701,1
13962,20200520,2
13962,20200430,2
13962,20200507,2
13962,20200413,2
13962,20200601,2
13963,20200525,1
13963,20200526,1
13963,20200527,1
13963,20200528,1
13963,20200531,1
13963,20200601,1
13963,20200602,1
13963,20200603,1
13963,20200604,1
13963,20200607,1
13963,20200608,1
13963,20200609,1
13963,20200610,1
13963,20200611,1
13963,20200614,1
13963,20200615,1
13963,20200616,1
13963,20200617,1
13963,20200618,1
13963,20200621,1
13963,20200622,1
13963,20200623,1
13963,20200624,1
13963,20200625,1
13963,20200628,1
13963,20200629,1
13963,20200630,1
13963,20200701,1
13963,20200520,2
13963,20200430,2
13963,20200507,2
13964,20200424,1
13964,20200426,1
13964,20200515,1
13964,20200517,1
13964,20200529,1
13964,20200413,1
13964,20200417,1
13964,20200419,1
13964,20200601,1
13964,20200605,1
13964,20200607,1
13964,20200520,1
13964,20200430,1
13964,20200503,1
13964,20200507,1
13964,20200510,1
13964,20200524,1
13964,20200531,2
13964,20200521,2
13965,20200502,1
13966,20200520,1
13966,20200430,1
13966,20200507,1
13966,20200529,1
13966,20200605,1
13966,20200612,1
13966,20200619,1
13966,20200626,1
13966,20200521,2
13966,20200501,2
13966,20200508,2
13967,20200520,1
13967,20200430,1
13967,20200507,1
13967,20200529,1
13967,20200605,1
13967,20200612,1
13967,20200619,1
13967,20200626,1
13967,20200521,2
13967,20200501,2
13967,20200508,2
3855,20200520,1
3855,20200430,1
3855,20200507,1
3855,20200529,1
3855,20200605,1
3855,20200612,1
3855,20200619,1
3855,20200626,1
3855,20200521,2
3855,20200501,2
3855,20200508,2
358,20200531,1
358,20200412,1
2618,20200512,1
2618,20200609,1
13968,20200509,1
2622,20200512,2
2622,20200609,2
306,20200410,1
733,20200411,1
13970,20200520,1
13970,20200430,1
13970,20200507,1
13970,20200529,1
13970,20200605,1
13970,20200612,1
13970,20200619,1
13970,20200626,1
13970,20200521,2
13970,20200501,2
13970,20200508,2
801,20200410,1
13971,20200521,1
13971,20200522,1
13971,20200601,1
13971,20200508,1
13974,20200508,2
13974,20200521,2
13974,20200522,2
13974,20200601,2
13975,20200406,1
8249,20200531,2
13976,20200413,1
13976,20200417,2
13976,20200424,2
5639,20200601,1
4229,20200521,2
4229,20200508,2
4229,20200501,2
4229,20200526,2
4158,20200403,1
13980,20200507,1
13980,20200520,1
13980,20200430,1
13980,20200508,2
13980,20200522,2
13980,20200501,2
13981,20200403,1
13981,20200410,1
13981,20200417,1
13981,20200424,1
8981,20200413,1
8981,20200607,1
8984,20200413,1
8984,20200405,1
8984,20200412,1
8984,20200419,1
8984,20200426,1
13982,20200403,1
13982,20200406,1
13982,20200407,1
13982,20200408,1
13982,20200409,1
13982,20200410,1
13982,20200414,1
13982,20200415,1
13982,20200416,1
13982,20200417,1
13982,20200420,1
13982,20200421,1
13982,20200422,1
13982,20200423,1
13982,20200424,1
13982,20200427,1
13982,20200413,2
13982,20200601,2
13982,20200602,2
13983,20200404,1
13983,20200406,1
13983,20200407,1
13983,20200408,1
13983,20200409,1
13983,20200411,1
13983,20200414,1
13983,20200415,1
13983,20200416,1
13983,20200418,1
13983,20200420,1
13983,20200421,1
13983,20200422,1
13983,20200423,1
13983,20200425,1
13983,20200427,1
13983,20200413,2
13983,20200601,2
13983,20200602,2
13984,20200522,1
13984,20200520,2
13984,20200507,2
13984,20200430,2
13984,20200601,2
13985,20200521,1
13985,20200411,1
13985,20200418,1
13985,20200425,1
2211,20200526,1
2671,20200602,1
4243,20200410,1
330,20200404,1
330,20200405,1
13987,20200521,1
13987,20200522,1
13988,20200510,1
34,20200508,1
13989,20200601,2
13989,20200508,2
13989,20200521,2
13989,20200522,2
13990,20200503,1
13991,20200413,1
13992,20200607,1
13993,20200501,1
13994,20200413,2
7539,20200413,1
7539,20200601,1
7539,20200607,2
1516,20200405,1
