Gare;Département;No_dpt;Région;Type_de_train;Date_de_la_première_desserte
Aéroport Charles-de-Gaulle TGV;Seine-Saint-Denis;93;Île-de-France;TGV inOui, Ouigo, Thalys;28 mai 1994
Agde;Hérault;34;Occitanie;TGV inOui;11 décembre 1988
Agen;Lot-et-Garonne;47;Nouvelle-Aquitaine;TGV inOui, Ouigo;25 septembre 1990
Aime-La Plagne;Savoie;73;Auvergne-Rhône-Alpes;TGV inOui (saisonnier), Eurostar (saisonnier), Thalys (saisonnier);11 décembre 1988
Aix-en-Provence TGV;Bouches-du-Rhône;13;Provence-Alpes-Côte d'Azur;TGV inOui, AVE, TGV Lyria (saisonnier), Ouigo, Thalys (saisonnier);10 juin 2001
Aix-les-Bains-Le Revard;Savoie;73;Auvergne-Rhône-Alpes;TGV inOui;25 septembre 1983
Albertville;Savoie;73;Auvergne-Rhône-Alpes;TGV inOui (saisonnier), Thalys (saisonnier);11 décembre 1988
Amiens;Somme;80;Hauts-de-France;TERGV (uniquement);6 janvier 20204
Ancenis;Loire-Atlantique;44;Pays de la Loire;TGV inOui ou TGV (hebdomadaire);24 septembre 1989
Angers-Saint-Laud;Maine-et-Loire;49;Pays de la Loire;TGV inOui ou TGV, Ouigo;24 septembre 1989
Angoulême;Charente;16;Nouvelle-Aquitaine;TGV inOui ou TGV, Ouigo;25 septembre 1990
Annecy;Haute-Savoie;74;Auvergne-Rhône-Alpes;TGV inOui;25 septembre 1983
Annemasse;Haute-Savoie;74;Auvergne-Rhône-Alpes;TGV inOui (hebdomadaire);11 décembre 1983
Antibes;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;TGV inOui, Ouigo;4 avril 1987
Arcachon;Gironde;33;Nouvelle-Aquitaine;TGV inOui;25 septembre 1990
Les Arcs - Draguignan;Var;83;Provence-Alpes-Côte d'Azur;TGV inOui, Ouigo;4 avril 1987
Arles;Bouches-du-Rhône;13;Provence-Alpes-Côte d'Azur;TGV inOui;4 juillet 1982
Arras;Pas-de-Calais;62;Hauts-de-France;TGV inOui, TERGV;25 septembre 1984
Auray;Morbihan;56;Bretagne;TGV inOui ou TGV;10 septembre 1991
