trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN002369F250256992,13:54:00,13:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002369F250256992,15:41:00,15:56:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002369F250256992,16:26:00,16:26:00,StopPoint:OCETGV INOUI-87182014,2,"",0,0,
OCESN002369F150156997,13:54:00,13:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002369F150156997,15:41:00,15:56:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002369F150156997,16:26:00,16:26:00,StopPoint:OCETGV INOUI-87182014,2,"",0,0,
OCESN002363F270276985,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002363F270276985,09:05:00,09:18:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002363F270276985,09:46:00,09:46:00,StopPoint:OCETGV INOUI-87182014,2,"",0,0,
OCESN002363F130136980,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002363F130136980,09:05:00,09:15:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002363F130136980,09:41:00,09:41:00,StopPoint:OCETGV INOUI-87182014,2,"",0,0,
OCESN002363F210216987,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002363F210216987,09:05:00,09:15:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002363F210216987,09:43:00,09:43:00,StopPoint:OCETGV INOUI-87182014,2,"",0,0,
OCESN002369F210216998,13:54:00,13:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002369F210216998,15:41:00,15:56:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002369F210216998,16:30:00,16:30:00,StopPoint:OCETGV INOUI-87182014,2,"",0,0,
OCESN002377F08008~TGF54549,18:54:00,18:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002377F08008~TGF54549,20:41:00,20:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002377F08008~TGF54549,21:05:00,21:08:00,StopPoint:OCETGV INOUI-87214056,2,"",0,0,
OCESN002377F08008~TGF54549,21:19:00,21:19:00,StopPoint:OCETGV INOUI-87182014,3,"",0,0,
OCESN002369F14014~TGF54545,13:54:00,13:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002369F14014~TGF54545,15:41:00,15:56:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002369F14014~TGF54545,16:26:00,16:26:00,StopPoint:OCETGV INOUI-87182014,2,"",0,0,
OCESN002377F040047006,18:54:00,18:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002377F040047006,20:41:00,20:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002377F040047006,21:05:00,21:08:00,StopPoint:OCETGV INOUI-87214056,2,"",0,0,
OCESN002377F040047006,21:18:00,21:18:00,StopPoint:OCETGV INOUI-87182014,3,"",0,0,
OCESN002377F080087010,18:54:00,18:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002377F080087010,20:41:00,20:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002377F080087010,21:05:00,21:08:00,StopPoint:OCETGV INOUI-87214056,2,"",0,0,
OCESN002377F080087010,21:19:00,21:19:00,StopPoint:OCETGV INOUI-87182014,3,"",0,0,
OCESN002377F04004~TGF54547,18:54:00,18:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002377F04004~TGF54547,20:41:00,20:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002377F04004~TGF54547,21:05:00,21:08:00,StopPoint:OCETGV INOUI-87214056,2,"",0,0,
OCESN002377F04004~TGF54547,21:18:00,21:18:00,StopPoint:OCETGV INOUI-87182014,3,"",0,0,
OCESN002363F120126976,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002363F120126976,09:05:00,09:15:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002363F120126976,09:41:00,09:41:00,StopPoint:OCETGV INOUI-87182014,2,"",0,0,
OCESN002371F050057003,14:55:00,14:55:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002371F050057003,16:41:00,16:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002371F050057003,17:12:00,17:12:00,StopPoint:OCETGV INOUI-87182014,2,"",0,0,
OCESN002371F060067004,14:55:00,14:55:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002371F060067004,16:41:00,16:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002371F060067004,17:13:00,17:13:00,StopPoint:OCETGV INOUI-87182014,2,"",0,0,
OCESN009561F2402415023,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009561F2402415023,09:05:00,09:09:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009561F2402415023,09:52:00,09:55:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009561F2402415023,10:24:00,10:27:00,StopPoint:OCETGV INOUI-80140087,3,"",0,0,
OCESN009561F2402415023,11:03:00,11:03:00,StopPoint:OCETGV INOUI-80110684,4,"",0,0,
OCESN009561F2002015021,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009561F2002015021,09:05:00,09:09:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009561F2002015021,09:52:00,09:55:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009561F2002015021,10:24:00,10:27:00,StopPoint:OCETGV INOUI-80140087,3,"",0,0,
OCESN009561F2002015021,11:03:00,11:03:00,StopPoint:OCETGV INOUI-80110684,4,"",0,0,
OCESN009561F1401415026,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009561F1401415026,09:05:00,09:11:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009561F1401415026,09:52:00,09:55:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009561F1401415026,10:24:00,10:27:00,StopPoint:OCETGV INOUI-80140087,3,"",0,0,
OCESN009561F1401415026,11:03:00,11:03:00,StopPoint:OCETGV INOUI-80110684,4,"",0,0,
OCESN009561F1101115030,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009561F1101115030,09:05:00,09:11:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009561F1101115030,09:52:00,09:55:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009561F1101115030,10:24:00,10:27:00,StopPoint:OCETGV INOUI-80140087,3,"",0,0,
OCESN009561F1101115030,11:03:00,11:03:00,StopPoint:OCETGV INOUI-80110684,4,"",0,0,
OCESN009561F1201215028,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009561F1201215028,09:05:00,09:11:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009561F1201215028,09:52:00,09:55:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009561F1201215028,10:18:00,10:21:00,StopPoint:OCETGV INOUI-80140087,3,"",0,0,
OCESN009561F1201215028,10:58:00,10:58:00,StopPoint:OCETGV INOUI-80110684,4,"",0,0,
OCESN009561F1801815029,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
