route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1209972,7975,OCESN002369F250256992,"2369",1,,
OCE1209972,7976,OCESN002369F150156997,"2369",1,,
OCE1209972,1239,OCESN002363F270276985,"2363",1,,
OCE1209972,5278,OCESN002363F130136980,"2363",1,,
OCE1209972,5279,OCESN002363F210216987,"2363",1,,
OCE1209972,6702,OCESN002369F210216998,"2369",1,,
OCE1209972,13955,OCESN002377F08008~TGF54549,"2377",1,,
OCE1209972,13956,OCESN002369F14014~TGF54545,"2369",1,,
OCE1209972,13957,OCESN002377F040047006,"2377",1,,
OCE1209972,13958,OCESN002377F080087010,"2377",1,,
OCE1209972,13959,OCESN002377F04004~TGF54547,"2377",1,,
OCE1209972,13960,OCESN002363F120126976,"2363",1,,
OCE1209972,4366,OCESN002371F050057003,"2371",1,,
OCE1209972,3000,OCESN002371F060067004,"2371",1,,
OCE1209972,1239,OCESN009561F2402415023,"9561",1,,
OCE1209972,81,OCESN009561F2002015021,"9561",1,,
OCE1209972,530,OCESN009561F1401415026,"9561",1,,
OCE1209972,5280,OCESN009561F1101115030,"9561",1,,
OCE1209972,5278,OCESN009561F1201215028,"9561",1,,
OCE1209972,5279,OCESN009561F1801815029,"9561",1,,
OCE1209972,9276,OCESN009591F0800815217,"9591",1,,
OCE1209972,9272,OCESN009591F0700715215,"9591",1,,
OCE1209972,8967,OCESN009593F0800815221,"9593",1,,
OCE1209972,7358,OCESN009577F1101115139,"9577",1,,
OCE1209972,7354,OCESN009577F2502515130,"9577",1,,
OCE1209972,260,OCESN009579F1801815170,"9579",1,,
OCE1209972,7357,OCESN009577F1201215132,"9577",1,,
OCE1209972,8587,OCESN009579F1601615169,"9579",1,,
OCE1209972,131,OCESN009579F2802815165,"9579",1,,
OCE1209972,1598,OCESN009579F2902915158,"9579",1,,
OCE1209972,9184,OCESN002077F060066781,"2077",1,,
OCE1209972,9181,OCESN002077F040046780,"2077",1,,
OCE1209972,13961,OCESN002471F08008~TGF54561,"2471",1,,
OCE1209972,48,OCESN002075F070076775,"2075",1,,
OCE1209972,8979,OCESN002075F020026776,"2075",1,,
OCE1209972,13962,OCESN002409F06006~TGP54552,"2409",1,,
OCE1209972,13963,OCESN002443F08008~TGF54555,"2443",1,,
OCE1209972,13964,OCESN002069F12012~TGF54531,"2069",1,,
OCE1209972,13965,OCESN002363F230236982,"2363",1,,
OCE1209972,530,OCESN002363F150156977,"2363",1,,
OCE1209972,4366,OCESN002091F050056790,"2091",1,,
OCE1209972,3000,OCESN002091F060066791,"2091",1,,
OCE1209972,13966,OCESN002471F080087078,"2471",1,,
OCE1209972,13967,OCESN002443F080087055,"2443",1,,
OCE1209972,3855,OCESN002431F040047043,"2431",1,,
OCE1209972,81,OCESN002377F060067007,"2377",1,,
OCE1209972,358,OCESN002069F200206769,"2069",1,,
OCE1209972,2618,OCESN002421F080087030,"2421",1,,
OCE1209972,13968,OCESN002363F23023-491454201,"2363",1,,
OCE1209972,2622,OCESN002421F050057032,"2421",1,,
OCE1209972,306,OCESN002075F040046774,"2075",1,,
OCE1209972,13969,OCESN002465F050057069,"2465",1,,
OCE1209972,3798,OCESN002407F050057021,"2407",1,,
OCE1209972,733,OCESN002071F010016773,"2071",1,,
OCE1209972,802,OCESN002069F230236772,"2069",1,,
OCE1209972,13970,OCESN002409F060067028,"2409",1,,
OCE1209972,801,OCESN002069F100106771,"2069",1,,
OCE1209972,13971,OCESN009575F2402415105,"9575",1,,
OCE1209972,7976,OCESN009575F1501515104,"9575",1,,
OCE1209972,260,OCESN009593F0700715223,"9593",1,,
OCE1209972,1470,OCESN009575F3203215106,"9575",1,,
OCE1209972,13972,OCESN009579F34034-1327254417,"9579",1,,
OCE1209972,13973,OCESN009579F1701715161,"9579",1,,
OCE1209972,13974,OCESN009575F2302315097,"9575",1,,
OCE1209972,7975,OCESN009575F3303315101,"9575",1,,
OCE1209972,13975,OCESN009579F3403415171,"9579",1,,
OCE1209972,8249,OCESN009579F1501515153,"9579",1,,
OCE1209972,13976,OCESN009575F24024-1322154414,"9575",1,,
OCE1209972,13977,OCESN009575F1401415093,"9575",1,,
OCE1209972,13978,OCESN009575F14014-1319854410,"9575",1,,
OCE1209972,13979,OCESN009575F23023-1320254411,"9575",1,,
OCE1209972,5639,OCESN002352F120126949,"2352",0,,
OCE1209972,4229,OCESN002356F100106950,"2356",0,,
OCE1209972,1110,OCESN002356F410416957,"2356",0,,
OCE1209972,4158,OCESN002356F130136960,"2356",0,,
OCE1209972,3754,OCESN002356F400406954,"2356",0,,
OCE1209972,13980,OCESN002350F070076939,"2350",0,,
OCE1209972,13981,OCESN002350F030036940,"2350",0,,
OCE1209972,1098,OCESN002350F080086938,"2350",0,,
OCE1209972,8983,OCESN002352F040046946,"2352",0,,
OCE1209972,8981,OCESN002352F030036944,"2352",0,,
OCE1209972,8984,OCESN002364F040046990,"2364",0,,
OCE1209972,13982,OCESN002362F03003~TGF54543,"2362",0,,
OCE1209972,6702,OCESN002362F060066975,"2362",0,,
OCE1209972,3000,OCESN002364F110116989,"2364",0,,
OCE1209972,13983,OCESN002350F03003~TGF54540,"2350",0,,
OCE1209972,13984,OCESN002350F07007~TGF54539,"2350",0,,
OCE1209972,13985,OCESN002356F11011~TGF54542,"2356",0,,
OCE1209972,13986,OCESN002356F38038~TGF54541,"2356",0,,
OCE1209972,2211,OCESN002356F370376964,"2356",0,,
OCE1209972,4239,OCESN002356F460466962,"2356",0,,
OCE1209972,2671,OCESN002356F450456963,"2356",0,,
OCE1209972,4243,OCESN002356F120126970,"2356",0,,
OCE1209972,4245,OCESN002356F470476971,"2356",0,,
OCE1209972,330,OCESN009560F0600615016,"9560",0,,
OCE1209972,2243,OCESN009560F0500515017,"9560",0,,
OCE1209972,13987,OCESN009584F0700715190,"9584",0,,
