stop_uic,stop_name,stop_id,frequency,connections,connections_name
87113001,Paris-Est,FRPST,0.025734037,"[87212027, 87171926, 87192039, 87141002, 87147322, 87171009, 87182014, 87214056, 87144006, 87144451, 87141150, 87215012, 87212225, 87144014, 87172270, 87172007, 87172254, 87174003, 87174276, 87175042, 87191007, 87142109, 87193003]","['Strasbourg', 'Champagne-Ardenne', 'Metz-Ville', 'Nancy-Ville', 'Meuse-TGV', 'Reims', 'Colmar', 'SÃ©lestat', 'Epinal', 'Remiremont', 'LunÃ©ville', 'Sarrebourg', 'Saverne', 'St-DiÃ©-des-Vosges', 'Rethel', 'Charleville-MÃ©ziÃ¨res', 'Sedan', 'ChÃ¢lons-en-Champagne', 'Vitry-le-FranÃ§ois', 'Bar-le-Duc', 'Thionville', 'Lorraine-TGV', 'Forbach']"
87212027,Strasbourg,FRAEG,0.018971778,"[87113001, 87171926, 87182063, 87300822, 87300863, 87713040, 87725689, 87723197, 87775007, 87773002, 87318964, 87319012, 87751008, 87722025, 87725002, 87713545, 87182014, 87214056, 87147322, 87141002, 87141150, 87215012, 87212225, 87223263, 87313882, 87271494, 87142109, 87581009, 87583005, 87575001, 87571240, 87393702, 87111849, 87471003, 87396002, 87481002, 87484006, 87192039, 87756056, 87757674, 87757625, 87757526, 87755447, 87755009, 87342014, 87191007, 87763029, 87703975, 87688887]","['Paris-Est', 'Champagne-Ardenne', 'Mulhouse', 'Belfort-MontbÃ©liard-TGV', 'BesanÃ§on-Franche-ComtÃ©', 'Dijon-Ville', 'MÃ¢con-Ville', 'Lyon-Part-Dieu', 'NÃ®mes', 'Montpellier-Saint-Roch', 'Avignon-TGV', 'Aix-en-Provence-TGV', 'Marseille-St-Charles', 'Lyon-Perrache', 'Chalon-sur-SaÃ´ne', 'Beaune', 'Colmar', 'SÃ©lestat', 'Meuse-TGV', 'Nancy-Ville', 'LunÃ©ville', 'Sarrebourg', 'Saverne', 'Lille Europe', 'TGV Haute-Picardie', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lorraine-TGV', 'Bordeaux-St-Jean', 'AngoulÃªme', 'Poitiers', 'St-Pierre-des-Corps', 'Massy-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Rennes', 'Le Mans', 'Nantes', 'Angers-St-Laud', 'Metz-Ville', 'Nice-Ville', 'Antibes', 'Cannes', 'St-RaphaÃ«l-Valescure', 'Les Arcs-Draguignan', 'Toulon', 'Arras', 'Thionville', 'Valence-TGV', 'NÃ®mes Pont-du-Gard', 'Montpellier-Sud-France']"
87182014,Colmar,FRAEJ,0.003737359,"[87751008, 87319012, 87318964, 87722025, 87725689, 87725002, 87713545, 87713040, 87300863, 87300822, 87182063, 87212027, 87214056, 87113001, 87171926, 87756056, 87757674, 87757625, 87757526, 87755447, 87755009, 87141002, 87192039, 87191007, 87723197, 87763029, 87703975, 87688887, 87773002, 87775007]","['Marseille-St-Charles', 'Aix-en-Provence-TGV', 'Avignon-TGV', 'Lyon-Perrache', 'MÃ¢con-Ville', 'Chalon-sur-SaÃ´ne', 'Beaune', 'Dijon-Ville', 'BesanÃ§on-Franche-ComtÃ©', 'Belfort-MontbÃ©liard-TGV', 'Mulhouse', 'Strasbourg', 'SÃ©lestat', 'Paris-Est', 'Champagne-Ardenne', 'Nice-Ville', 'Antibes', 'Cannes', 'St-RaphaÃ«l-Valescure', 'Les Arcs-Draguignan', 'Toulon', 'Nancy-Ville', 'Metz-Ville', 'Thionville', 'Lyon-Part-Dieu', 'Valence-TGV', 'NÃ®mes Pont-du-Gard', 'Montpellier-Sud-France', 'Montpellier-Saint-Roch', 'NÃ®mes']"
87214056,SÃ©lestat,FRXSQ,0.000655463,"[87192039, 87182063, 87300822, 87300863, 87713040, 87725689, 87723197, 87775007, 87773002, 87141002, 87318964, 87319012, 87751008, 87182014, 87212027, 87113001, 87755009, 87755447, 87757526, 87757625, 87757674, 87756056, 87725002, 87191007, 87763029, 87703975, 87688887]","['Metz-Ville', 'Mulhouse', 'Belfort-MontbÃ©liard-TGV', 'BesanÃ§on-Franche-ComtÃ©', 'Dijon-Ville', 'MÃ¢con-Ville', 'Lyon-Part-Dieu', 'NÃ®mes', 'Montpellier-Saint-Roch', 'Nancy-Ville', 'Avignon-TGV', 'Aix-en-Provence-TGV', 'Marseille-St-Charles', 'Colmar', 'Strasbourg', 'Paris-Est', 'Toulon', 'Les Arcs-Draguignan', 'St-RaphaÃ«l-Valescure', 'Cannes', 'Antibes', 'Nice-Ville', 'Chalon-sur-SaÃ´ne', 'Thionville', 'Valence-TGV', 'NÃ®mes Pont-du-Gard', 'Montpellier-Sud-France']"
87171926,Champagne-Ardenne,FREAH,0.009750517,"[87212027, 87113001, 87192039, 87141002, 87182014, 87147322, 87144006, 87144451, 87174003, 87174276, 87175042, 87191007, 87223263, 87313882, 87271494, 87142109, 87581009, 87583005, 87575001, 87571240, 87393702, 87111849, 87471003, 87396002, 87481002, 87484006, 87722025, 87723197, 87694109, 87342014]","['Strasbourg', 'Paris-Est', 'Metz-Ville', 'Nancy-Ville', 'Colmar', 'Meuse-TGV', 'Epinal', 'Remiremont', 'ChÃ¢lons-en-Champagne', 'Vitry-le-FranÃ§ois', 'Bar-le-Duc', 'Thionville', 'Lille Europe', 'TGV Haute-Picardie', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lorraine-TGV', 'Bordeaux-St-Jean', 'AngoulÃªme', 'Poitiers', 'St-Pierre-des-Corps', 'Massy-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Rennes', 'Le Mans', 'Nantes', 'Angers-St-Laud', 'Lyon-Perrache', 'Lyon-Part-Dieu', 'Creusot - TGV (le)', 'Arras']"
87147322,Meuse-TGV,FREAJ,0.004307327,"[87141002, 87113001, 87171926, 87212027, 87144006, 87144451, 87215012, 87212225, 87141150, 87144014, 87192039, 87191007, 87581009, 87583005, 87575001, 87571240, 87393702, 87111849, 87142109, 87223263, 87271494]","['Nancy-Ville', 'Paris-Est', 'Champagne-Ardenne', 'Strasbourg', 'Epinal', 'Remiremont', 'Sarrebourg', 'Saverne', 'LunÃ©ville', 'St-DiÃ©-des-Vosges', 'Metz-Ville', 'Thionville', 'Bordeaux-St-Jean', 'AngoulÃªme', 'Poitiers', 'St-Pierre-des-Corps', 'Massy-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Lorraine-TGV', 'Lille Europe', 'AÃ©ropt-C-de-Gaulle-TGV']"
87193003,Forbach,FRBQT,0.000472259,[87113001],['Paris-Est']
87192039,Metz-Ville,FRADE,0.007865553,"[87113001, 87214056, 87182063, 87300822, 87300863, 87713040, 87725689, 87723197, 87775007, 87773002, 87171926, 87147322, 87191007, 87212027, 87182014, 87763029, 87318964, 87319012, 87751008, 87703975, 87688887]","['Paris-Est', 'SÃ©lestat', 'Mulhouse', 'Belfort-MontbÃ©liard-TGV', 'BesanÃ§on-Franche-ComtÃ©', 'Dijon-Ville', 'MÃ¢con-Ville', 'Lyon-Part-Dieu', 'NÃ®mes', 'Montpellier-Saint-Roch', 'Champagne-Ardenne', 'Meuse-TGV', 'Thionville', 'Strasbourg', 'Colmar', 'Valence-TGV', 'Avignon-TGV', 'Aix-en-Provence-TGV', 'Marseille-St-Charles', 'NÃ®mes Pont-du-Gard', 'Montpellier-Sud-France']"
87191007,Thionville,FRXTH,0.003786213,"[87113001, 87192039, 87171926, 87147322, 87212027, 87182014, 87182063, 87300822, 87300863, 87713040, 87723197, 87763029, 87318964, 87319012, 87751008, 87725689, 87703975, 87688887, 87214056, 87773002, 87775007]","['Paris-Est', 'Metz-Ville', 'Champagne-Ardenne', 'Meuse-TGV', 'Strasbourg', 'Colmar', 'Mulhouse', 'Belfort-MontbÃ©liard-TGV', 'BesanÃ§on-Franche-ComtÃ©', 'Dijon-Ville', 'Lyon-Part-Dieu', 'Valence-TGV', 'Avignon-TGV', 'Aix-en-Provence-TGV', 'Marseille-St-Charles', 'MÃ¢con-Ville', 'NÃ®mes Pont-du-Gard', 'Montpellier-Sud-France', 'SÃ©lestat', 'Montpellier-Saint-Roch', 'NÃ®mes']"
87722025,Lyon-Perrache,FRLPE,0.012938264,"[87751008, 87319012, 87318964, 87725689, 87725002, 87713545, 87713040, 87300863, 87300822, 87182063, 87182014, 87212027, 87723197, 87111849, 87271494, 87313882, 87342014, 87286005, 87345009, 87481002, 87484006, 87396002, 87393702, 87487603, 87571240, 87471003, 87478404, 87694109, 87171926, 87141002, 87756056, 87757674, 87757625, 87757526, 87755447, 87755009, 87686006, 87725705, 87763029, 87775007, 87773002, 87773200, 87781005, 87781104, 87615286, 87611004, 87703975, 87688887, 87223263]","['Marseille-St-Charles', 'Aix-en-Provence-TGV', 'Avignon-TGV', 'MÃ¢con-Ville', 'Chalon-sur-SaÃ´ne', 'Beaune', 'Dijon-Ville', 'BesanÃ§on-Franche-ComtÃ©', 'Belfort-MontbÃ©liard-TGV', 'Mulhouse', 'Colmar', 'Strasbourg', 'Lyon-Part-Dieu', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'TGV Haute-Picardie', 'Arras', 'Lille Flandres', 'Douai', 'Nantes', 'Angers-St-Laud', 'Le Mans', 'Massy-TGV', 'Saumur', 'St-Pierre-des-Corps', 'Rennes', 'Laval', 'Creusot - TGV (le)', 'Champagne-Ardenne', 'Nancy-Ville', 'Nice-Ville', 'Antibes', 'Cannes', 'St-RaphaÃ«l-Valescure', 'Les Arcs-Draguignan', 'Toulon', 'Paris-Gare-de-Lyon', 'MÃ¢con-LochÃ©-TGV', 'Valence-TGV', 'NÃ®mes', 'Montpellier-Saint-Roch', 'SÃ¨te', 'BÃ©ziers', 'Narbonne', 'Carcassonne', 'Toulouse-Matabiau', 'NÃ®mes Pont-du-Gard', 'Montpellier-Sud-France', 'Lille Europe']"
