stop_name;stop_id;train_type;geometry
Agde;87781278;['TGV inOui'];POINT (3.46602019 43.31757369)
Agen;87586008;['TGV inOui', ' Ouigo'];POINT (0.6209045399999999 44.20797206)
Aix-en-Provence TGV;87319012;['TGV inOui', ' AVE', ' TGV Lyria (saisonnier)', ' Ouigo', ' Thalys (saisonnier)'];POINT (5.31726436 43.45515093)
Aix-les-Bains-Le Revard;87741132;['TGV inOui'];POINT (5.90934966 45.68786249)
Angers-Saint-Laud;87484006;['TGV inOui ou TGV', ' Ouigo'];POINT (-0.55694922 47.46443417)
Angoulême;87583005;['TGV inOui ou TGV', ' Ouigo'];POINT (0.16452848 45.65393498)
Annecy;87746008;['TGV inOui'];POINT (6.12181945 45.90205904)
Annemasse;87745497;['TGV inOui (hebdomadaire)'];POINT (6.23638776 46.19922998)
Antibes;87757674;['TGV inOui', ' Ouigo'];POINT (7.11951629 43.58578911)
Arcachon;87582668;['TGV inOui'];POINT (-1.16536843 44.65891706)
Arras;87342014;['TGV inOui', ' TERGV'];POINT (2.78112647 50.28681562)
Auray;87476200;['TGV inOui ou TGV'];POINT (-2.99999862 47.68018937)
Avignon TGV;87318964;['TGV inOui', ' AVE', ' TGV Lyria (saisonnier)', ' Ouigo', ' Thalys (saisonnier)', ' Eurostar'];POINT (4.78615444 43.92196386)
Avignon-Centre;87765008;['TGV inOui'];POINT (4.80526228 43.94187716)
Aéroport Charles-de-Gaulle TGV;87271494;['TGV inOui', 'Ouigo', 'Thalys'];POINT (2.57158758 49.00401756)
Bar-le-Duc;87175042;['TGV inOui'];POINT (5.16701612 48.77363051)
Bayonne;87673004;['TGV inOui'];POINT (-1.47039808 43.4967594)
Beaune;87713545;['TGV inOui'];POINT (4.8487235 47.0230407)
Belfort - Montbéliard TGV;87300822;['TGV inOui', ' TGV Lyria'];POINT (6.89903128 47.58659149)
Bellegarde;87745000;['TGV inOui', ' TGV Lyria'];POINT (5.82364602 46.10970399)
Besançon Franche-Comté TGV;87300863;['TGV inOui'];POINT (5.95475873 47.30747111)
Besançon-Viotte;87718007;['TGV inOui'];POINT (6.02191203 47.24703813)
Biarritz;87673400;['TGV inOui'];POINT (-1.54601123 43.45937697)
