trip_id;trip_date;time;stop_by_name;stop;stop_position_lon;stop_position_lat
OCESN009591F0800815217;2020-04-23 17:24:00;17:24:00;Paris-Est;87113001;2.35915061;48.87656977
OCESN009591F0800815217;2020-04-23 19:13:00;19:13:00;Strasbourg;87212027;7.73396834;48.5851719
OCESN009591F0800815217;2020-04-23 19:39:00;19:39:00;Offenburg;80143099;7.94672063;48.47646638
OCESN009591F0800815217;2020-04-23 20:00:00;20:00:00;Lahr;80143198;7.83531079;48.34061018
OCESN009591F0800815217;2020-04-23 20:16:00;20:16:00;Emmendingen;80143313;7.84792177;48.11931353
OCESN009591F0800815217;2020-04-23 20:29:00;20:29:00;Freiburg-Breisgau;80143503;7.84158594;47.99778994
OCESN009577F1101115139;2020-04-23 15:54:00;15:54:00;Paris-Est;87113001;2.35915061;48.87656977
OCESN009577F1101115139;2020-04-23 17:41:00;17:41:00;Strasbourg;87212027;7.73396834;48.5851719
OCESN009577F1101115139;2020-04-23 18:25:00;18:25:00;Karlsruhe-Hbf;80142281;8.40028628;48.99441342
OCESN009577F1101115139;2020-04-23 19:28:00;19:28:00;Stuttgart;80290346;9.18053567;48.78364169
OCESN009577F1101115139;2020-04-23 20:37:00;20:37:00;Ulm-Hbf;80291039;9.98323696;48.39937589
OCESN009577F1101115139;2020-04-23 21:20:00;21:20:00;Augsburg-Hbf;80021402;10.88638945;48.36555503
OCESN009577F1101115139;2020-04-23 21:52:00;21:52:00;MÃ¼nchen Hbf (Munich);80203471;11.56007782;48.14030243
OCESN002409F06006~TGP54552;2020-04-23 09:28:00;09:28:00;Paris-Est;87113001;2.35915061;48.87656977
OCESN002409F06006~TGP54552;2020-04-23 11:14:00;11:14:00;Strasbourg;87212027;7.73396834;48.5851719
OCESN002443F08008~TGF54555;2020-04-23 16:54:00;16:54:00;Paris-Est;87113001;2.35915061;48.87656977
OCESN002443F08008~TGF54555;2020-04-23 18:41:00;18:41:00;Strasbourg;87212027;7.73396834;48.5851719
OCESN002421F050057032;2020-04-23 12:54:00;12:54:00;Paris-Est;87113001;2.35915061;48.87656977
OCESN002421F050057032;2020-04-23 14:41:00;14:41:00;Strasbourg;87212027;7.73396834;48.5851719
OCESN002465F050057069;2020-04-23 20:24:00;20:24:00;Paris-Est;87113001;2.35915061;48.87656977
OCESN002465F050057069;2020-04-23 22:13:00;22:13:00;Strasbourg;87212027;7.73396834;48.5851719
OCESN002407F050057021;2020-04-23 07:58:00;07:58:00;Paris-Est;87113001;2.35915061;48.87656977
OCESN002407F050057021;2020-04-23 08:37:00;08:37:00;Champagne-Ardenne;87171926;3.98878814;49.21164026
OCESN002407F050057021;2020-04-23 09:04:00;09:04:00;Meuse-TGV;87147322;5.27105413;48.97849058
OCESN002407F050057021;2020-04-23 09:57:00;09:57:00;Strasbourg;87212027;7.73396834;48.5851719
OCESN009579F1501515153;2020-04-23 17:54:00;17:54:00;Paris-Est;87113001;2.35915061;48.87656977
OCESN009579F1501515153;2020-04-23 19:41:00;19:41:00;Strasbourg;87212027;7.73396834;48.5851719
OCESN009579F1501515153;2020-04-23 20:25:00;20:25:00;Karlsruhe-Hbf;80142281;8.40028628;48.99441342
OCESN009579F1501515153;2020-04-23 21:27:00;21:27:00;Stuttgart;80290346;9.18053567;48.78364169
OCESN009575F14014-1319854410;2020-04-23 13:54:00;13:54:00;Paris-Est;87113001;2.35915061;48.87656977
OCESN009575F14014-1319854410;2020-04-23 15:41:00;15:41:00;Strasbourg;87212027;7.73396834;48.5851719
OCESN002356F38038~TGF54541;2020-04-23 10:02:00;10:02:00;Colmar;87182014;7.34708413;48.07315381
OCESN002356F38038~TGF54541;2020-04-23 10:31:00;10:31:00;Strasbourg;87212027;7.73396834;48.5851719
