stop_uic;stop_name;connections;connections_name
87113001;Paris-Est;[87192039, 87171009, 87182014, 87212027, 87171926, 87147322, 87141002, 87144006, 87144451, 87141150, 87215012, 87212225, 87144014, 87172270, 87172007, 87172254, 87175042, 87174276, 87174003, 87191007, 82001000, 87142109, 87193003, 80253914, 80196980, 80140087, 80110684, 80142281, 80290346, 80203471, 80021402, 80291039, 80143099, 80143198, 80143313, 80143503];['Metz-Ville', 'Reims', 'Colmar', 'Strasbourg', 'Champagne-Ardenne', 'Meuse-TGV', 'Nancy-Ville', 'Epinal', 'Remiremont', 'LunÃ©ville', 'Sarrebourg', 'Saverne', 'St-DiÃ©-des-Vosges', 'Rethel', 'Charleville-MÃ©ziÃ¨res', 'Sedan', 'Bar-le-Duc', 'Vitry-le-FranÃ§ois', 'ChÃ¢lons-en-Champagne', 'Thionville', 'Luxembourg', 'Lorraine-TGV', 'Forbach', 'SaarbrÃ¼cken /Sarrebruck', 'Kaiserslautern-Hbf', 'Mannheim-Hbf', 'Frankfurt/M (Francfort)', 'Karlsruhe-Hbf', 'Stuttgart', 'MÃ¼nchen Hbf (Munich)', 'Augsburg-Hbf', 'Ulm-Hbf', 'Offenburg', 'Lahr', 'Emmendingen', 'Freiburg-Breisgau']
87212027;Strasbourg;[87182063, 87300822, 87300863, 87713040, 87725689, 87723197, 87318964, 87319012, 87751008, 87722025, 87725002, 87713545, 87182014, 87113001, 87171926, 87147322, 87141002, 87141150, 87215012, 87212225, 87223263, 87313882, 87271494, 87142109, 87581009, 87583005, 87575001, 87571240, 87393702, 87111849, 87471003, 87396002, 87481002, 87484006, 87756056, 87757674, 87757625, 87757526, 87755447, 87755009, 87192039, 80110684, 80140087, 80142281, 80290346, 80203471, 80021402, 80291039, 80143099, 80143198, 80143313, 80143503, 88140010, 87342014, 82001000, 87191007, 87763029, 87703975, 87688887, 87773002, 87775007];['Mulhouse', 'Belfort-MontbÃ©liard-TGV', 'BesanÃ§on-Franche-ComtÃ©', 'Dijon-Ville', 'MÃ¢con-Ville', 'Lyon-Part-Dieu', 'Avignon-TGV', 'Aix-en-Provence-TGV', 'Marseille-St-Charles', 'Lyon-Perrache', 'Chalon-sur-SaÃ´ne', 'Beaune', 'Colmar', 'Paris-Est', 'Champagne-Ardenne', 'Meuse-TGV', 'Nancy-Ville', 'LunÃ©ville', 'Sarrebourg', 'Saverne', 'Lille Europe', 'TGV Haute-Picardie', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lorraine-TGV', 'Bordeaux-St-Jean', 'AngoulÃªme', 'Poitiers', 'St-Pierre-des-Corps', 'Massy-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Rennes', 'Le Mans', 'Nantes', 'Angers-St-Laud', 'Nice-Ville', 'Antibes', 'Cannes', 'St-RaphaÃ«l-Valescure', 'Les Arcs-Draguignan', 'Toulon', 'Metz-Ville', 'Frankfurt/M (Francfort)', 'Mannheim-Hbf', 'Karlsruhe-Hbf', 'Stuttgart', 'MÃ¼nchen Hbf (Munich)', 'Augsburg-Hbf', 'Ulm-Hbf', 'Offenburg', 'Lahr', 'Emmendingen', 'Freiburg-Breisgau', 'Bruxelles-M./Brussel-Z.', 'Arras', 'Luxembourg', 'Thionville', 'Valence-TGV', 'NÃ®mes Pont-du-Gard', 'Montpellier-Sud-France', 'Montpellier-Saint-Roch', 'NÃ®mes']
80143099;Offenburg;[87113001, 87212027, 80143198, 80143313, 80143503];['Paris-Est', 'Strasbourg', 'Lahr', 'Emmendingen', 'Freiburg-Breisgau']
80143198;Lahr;[87113001, 87212027, 80143099, 80143313, 80143503];['Paris-Est', 'Strasbourg', 'Offenburg', 'Emmendingen', 'Freiburg-Breisgau']
80143313;Emmendingen;[87113001, 87212027, 80143099, 80143198, 80143503];['Paris-Est', 'Strasbourg', 'Offenburg', 'Lahr', 'Freiburg-Breisgau']
80143503;Freiburg-Breisgau;[87113001, 87212027, 80143099, 80143198, 80143313];['Paris-Est', 'Strasbourg', 'Offenburg', 'Lahr', 'Emmendingen']
80142281;Karlsruhe-Hbf;[80110684, 80140087, 87212027, 87113001, 80290346, 80203471, 80021402, 80291039];['Frankfurt/M (Francfort)', 'Mannheim-Hbf', 'Strasbourg', 'Paris-Est', 'Stuttgart', 'MÃ¼nchen Hbf (Munich)', 'Augsburg-Hbf', 'Ulm-Hbf']
80290346;Stuttgart;[80142281, 87212027, 87113001, 80203471, 80021402, 80291039];['Karlsruhe-Hbf', 'Strasbourg', 'Paris-Est', 'MÃ¼nchen Hbf (Munich)', 'Augsburg-Hbf', 'Ulm-Hbf']
80291039;Ulm-Hbf;[80203471, 80021402, 80290346, 80142281, 87212027, 87113001];['MÃ¼nchen Hbf (Munich)', 'Augsburg-Hbf', 'Stuttgart', 'Karlsruhe-Hbf', 'Strasbourg', 'Paris-Est']
80021402;Augsburg-Hbf;[80203471, 80291039, 80290346, 80142281, 87212027, 87113001];['MÃ¼nchen Hbf (Munich)', 'Ulm-Hbf', 'Stuttgart', 'Karlsruhe-Hbf', 'Strasbourg', 'Paris-Est']
