;initial_search;ville;type;name;summary;image_src;wiki_link
0;Cathédrale Saint Jean;lyon;monument;Primatiale Saint-Jean de Lyon;"La primatiale Saint-Jean-Baptiste-et-Saint-Étienne (dite aussi, plus simplement, cathédrale Saint-Jean) est le siège épiscopal de l'archidiocèse de Lyon. Elle a rang de cathédrale et de primatiale : l'archevêque de Lyon a le titre de Primat des Gaules ; le poste est actuellement géré par l'administrateur apostolique du diocèse, Mgr Michel Dubost, nommé  en juin 2019.";http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/007._Photo_prise_depuis_les_toits_de_la_Basilique_Notre-Dame_de_Fourvi%C3%A8re.JPG/280px-007._Photo_prise_depuis_les_toits_de_la_Basilique_Notre-Dame_de_Fourvi%C3%A8re.JPG;https://fr.wikipedia.org/wiki/Primatiale_Saint-Jean_de_Lyon
1;Horloge astronomique;lyon;monument;Horloge astronomique;Une horloge astronomique est une horloge qui affiche l'heure ainsi que des informations relatives à l'astronomie.;http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Czech-2013-Prague-Astronomical_clock_face.jpg/300px-Czech-2013-Prague-Astronomical_clock_face.jpg;https://fr.wikipedia.org/wiki/Horloge_astronomique
2;Basilique de Fourvière;lyon;monument;Basilique Notre-Dame de Fourvière;La basilique Notre-Dame de Fourvière surplombe la ville de Lyon depuis le sommet de la colline de Fourvière depuis la fin du XIXe siècle.;http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Notre_Dame_de_Fourvi%C3%A8re.jpg/280px-Notre_Dame_de_Fourvi%C3%A8re.jpg;https://fr.wikipedia.org/wiki/Basilique_Notre-Dame_de_Fourvi%C3%A8re
3;Tour métallique de Fourvière;lyon;monument;Tour métallique de Fourvière;La tour métallique de Fourvière est un monument de la ville de Lyon en France, situé à proximité de la basilique Notre-Dame de Fourvière.;http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/016._Photo_prise_depuis_les_toits_de_la_Basilique_Notre-Dame_de_Fourvi%C3%A8re.JPG/260px-016._Photo_prise_depuis_les_toits_de_la_Basilique_Notre-Dame_de_Fourvi%C3%A8re.JPG;https://fr.wikipedia.org/wiki/Tour_m%C3%A9tallique_de_Fourvi%C3%A8re
4;Ruines du Théâtre Antique;lyon;monument;Théâtre antique de Lyon;Le théâtre antique de Lugdunum est un des principaux monuments romains visibles à Lyon. Il est adossé à la colline de Fourvière, en dessous de son sommet, ce qui le plaçait près du centre de la colonie romaine. Construit au début de l'Empire, peut-être sous Auguste, il est agrandi à la fin du Ier siècle ou au début du IIe siècle, et peut alors accueillir jusqu’à 10 000 spectateurs.;http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Lyon_-_Lugdunum_-_Th%C3%A9atre_Romain.jpg/280px-Lyon_-_Lugdunum_-_Th%C3%A9atre_Romain.jpg;https://fr.wikipedia.org/wiki/Th%C3%A9%C3%A2tre_antique_de_Lyon
5;Statue de Louis XIV;lyon;monument;Statue équestre de Louis XIV (Lyon);Le Monument à Louis XIV est une statue équestre en bronze de Louis XIV par le sculpteur François-Frédéric Lemot située sur la place Bellecour à Lyon, datant de 1825. Elle est inscrite au patrimoine des monuments historiques depuis le 26 août 2015.;http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Statue_of_Louis_XIV_in_Lyon_-_DSC05574.JPG/260px-Statue_of_Louis_XIV_in_Lyon_-_DSC05574.JPG;https://fr.wikipedia.org/wiki/Statue_%C3%A9questre_de_Louis_XIV_(Lyon)
6;Fontaine Bartholdi;lyon;monument;Fontaine Bartholdi;"La fontaine Bartholdi se situe place des Terreaux, dans le centre de la ville de Lyon (1er arrondissement). Elle a été réalisée par le sculpteur Frédéric Auguste Bartholdi et inaugurée en 1892 sous son appellation originelle de ""Char triomphal de la Garonne"" alors que son nom officiel est ""Les fleuves et les sources allant à l'océan""";http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Fontaine-bartholdi-restauree.jpg/260px-Fontaine-bartholdi-restauree.jpg;https://fr.wikipedia.org/wiki/Fontaine_Bartholdi
7;Palais de la Bourse;lyon;monument;Palais de la Bourse (Lyon);Le palais de la Bourse ou palais du Commerce est un édifice situé dans le 2e arrondissement de Lyon. Il abrite actuellement le siège de la Chambre de commerce et d'industrie de Lyon.;http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Palais_Bourse_Lyon_6.jpg/260px-Palais_Bourse_Lyon_6.jpg;https://fr.wikipedia.org/wiki/Palais_de_la_Bourse_(Lyon)
8;Opéra;lyon;monument;Opéra de Lyon;L’opéra de Lyon est une salle d’opéra de la ville de Lyon.;http://upload.wikimedia.org/wikipedia/fr/thumb/7/72/Op%C3%A9ra_de_Lyon.JPG/220px-Op%C3%A9ra_de_Lyon.JPG;https://fr.wikipedia.org/wiki/Op%C3%A9ra_de_Lyon
9;Hôtel de Ville;lyon;monument;Hôtel de ville de Lyon;L'hôtel de ville de Lyon, un des plus imposants bâtiments historiques de la ville, se situe entre la place des Terreaux et la place de la Comédie où il fait face à l'Opéra.;http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Fa%C3%A7ade_de_la_mairie_de_Lyon.jpg/260px-Fa%C3%A7ade_de_la_mairie_de_Lyon.jpg;https://fr.wikipedia.org/wiki/H%C3%B4tel_de_ville_de_Lyon
