;ville;region;departement;population;densite;gentile;altitude;superficie
0;Paris;Île-de-France;Paris;2187526;20755;Parisiens;78m Min. 28m Max. 131m;105,40km2
1;Strasbourg;Grand Est;Bas-Rhin;280966;3590;Strasbourgeois;142m Min. 132m Max. 151m;78,26km2
2;Colmar;Grand Est;Haut-Rhin;69105;1038;Colmariens;195m Min. 175m Max. 214m;66,57km2
3;Sacy;Île-de-France;Seine-et-Marne;1813;131;Saâcéens;Min. 60m Max. 200m;13,80km2
4;Les Trois-Domaines;Grand Est;Meuse;124;7,5;Domainien, domainienne;Min. 237m Max. 343m;16,49km2
5;Forbach-Boulay-Moselle;Grand Est;Moselle;21552;1321;Forbachois;Min. 192m Max. 388m;16,32km2
6;Metz;Grand Est;Moselle;116429;2776;Messines, Messins;209m Min. 162m Max. 256m;41,94km2
7;Thionville;Grand Est;Moselle;40701;816;Thionvillois, Thionvilloise;Min. 147m Max. 423m;49,86km2
8;Lyon;Auvergne-Rhône-Alpes;Rhône;516092;10781;Lyonnais;237m Min. 162m Max. 305m;47,87km2
9;Lyon;Auvergne-Rhône-Alpes;Rhône;516092;10781;Lyonnais;237m Min. 162m Max. 305m;47,87km2
10;Torcy;Île-de-France;Seine-et-Marne;22568;3761;Torcéens;Min. 37 m;Max. 106 m6 km2
11;Chessy;Île-de-France;Seine-et-Marne;5633;981;Cassiassiens;Min. 37m Max. 130m;5,74km2
12;Nancy;Grand Est;Meurthe-et-Moselle;104286;6948;Nancéien ou Nancéen[Note 1];271m Min. 188m Max. 353m;15,01km2
13;Mulhouse;Grand Est;Haut-Rhin;109443;4934;Mulhousien/Mulhousienne;284m Min. 232m Max. 338m;22,18km2
14;Meroux-Moval;Bourgogne-Franche-Comté;Territoire de Belfort;1304;130;Mervalois, Mervaloises[1];Min. 340m Max. 406m;10,01km2
15;Les Auxons;Bourgogne-Franche-Comté;Doubs;2544;250;Auxois;Min. 215m Max. 350m;10,16km2
16;Dijon;Bourgogne-Franche-Comté;Côte-d'Or;156920;3799;Dijonnais;Min. 210m Max. 410m;41,31km2
17;Mâcon;Bourgogne-Franche-Comté;Saône-et-Loire;33638;1246;Mâconnais, Mâconnaises;Min. 167m Max. 347m;27km2
18;Nîmes;Occitanie;Gard;150610;931;Nîmois et Nîmoises;Min. 21m Max. 215m;161,85km2
19;Montpellier;Occitanie;Hérault;285121;5013;Montpelliérain;Min. 8[2]m Max. 119[3]m;56,88km2
20;Avignon;Provence-Alpes-Côte d’Azur;Vaucluse;91921;1419;Avignonnais;Min. 10m Max. 122m;64,78km2
21;Cabriès;Provence-Alpes-Côte d’Azur;Bouches-du-Rhône;9751;267;Cabries(s)iens;210m Min. 124m Max. 261m;36,55km2
22;Marseille;Provence-Alpes-Côte d’Azur;Bouches-du-Rhône;863310;3588;Marseillais;Min. 0m Max. 652m;240,62km2
23;Chalon-sur-Saône;Bourgogne-Franche-Comté;Saône-et-Loire;45096;2963;Chalonnais;182m Min. 172m Max. 191m;15,22km2
24;Alixan;Auvergne-Rhône-Alpes;Drôme;2509;89;Alixanais;Min. 163m Max. 224m;28,28km2
25;Beaune;Bourgogne-Franche-Comté;Côte-d'Or;21031;668;Beaunois;Min. 193m Max. 407m;31,50km2
26;Nice;Provence-Alpes-Côte d’Azur;Alpes-Maritimes;340017;4728;Niçois;Min. 0m Max. 520m;71,92km2
27;Antibes;Provence-Alpes-Côte d’Azur;Alpes-Maritimes;72999;2757;Antibois;9m Min. 0m Max. 163m;26,48km2
28;Cannes;Provence-Alpes-Côte d’Azur;Alpes-Maritimes;73868;3765;Cannois;Min. 0m Max. 260m;19,62km2
29;Saint-Raphaël;Provence-Alpes-Côte d’Azur;Var;35042;391;Raphaëlois;Min. 0m Max. 560m;89,59km2
30;Les Arcs-sur-Argens;Provence-Alpes-Côte d’Azur;Var;7064;130;Arcoise/Arcois;Min. 16m Max. 342m;54,26km2
31;Toulon;Provence-Alpes-Côte d’Azur;Var;171953;4014;Toulonnais;Min. 0m Max. 584m;42,84km2
32;Remiremont;Grand Est;Vosges;7714;429;Romarimontains;400m Min. 379m Max. 766m;18km2
33;Épinal;Grand Est;;31740;536;Spinaliens;Min. 315m Max. 492m;59,24km2
34;Saint-Dié-des-Vosges;Grand Est;Vosges;19607;425;Déodatien(ne)s;601m Min. 310m Max. 891m;46,15km2
35;Lunéville;Grand Est;Meurthe-et-Moselle;18287;1119;Lunévillois;269m Min. 217m Max. 321m;16,34km2
36;Saverne;Grand Est;Bas-Rhin;11239;432;Savernois;320m Min. 177m Max. 463m;26,01km2
37;Sarrebourg;Grand Est;Moselle;12045;734;Sarrebourgeois;285m Min. 244m Max. 325m;16,40km2
38;Châlons-en-Champagne;Grand Est;Marne;44753;1718;Châlonnais(e);Min. 79m Max. 153m;26,05km2
39;Vitry-le-François;Grand Est;Marne;12133;1881;Vitryates, Vitryats;102m Min. 92m Max. 112m;6,45km2
40;Bar-le-Duc;Grand Est;Meuse;14985;634;Barisiens;251m Min. 175m Max. 327m;23,62km2
41;Reims;Grand Est;Marne;182460;3880;Rémois(e);Min. 80m Max. 135m;47,02km2
42;Rethel;Grand Est;Ardennes;7592;409;Rethélois;107m Min. 67m Max. 146m;18,58km2
43;Charleville-Mézières;Grand Est;Ardennes;46428;1477;Carolomacérienne, Carolomacérien;228m Min. 133m Max. 197m;31,44km2
44;Sedan;Grand Est;Ardennes;16428;1009;Sedanais;225m Min. 149m Max. 301m;16,28km2
45;Lille;Hauts-de-France;Nord;232787;6745;Lillois;Min. 18m Max. 46m;34,51km2
46;Ablaincourt-Pressoir;Hauts-de-France;Somme;266;28;Ablaincourtois;Min. 67m Max. 88m;9,46km2
47;Roissy-en-France;Île-de-France;Val-d'Oise;2883;205;Roisséens;Min. 100m Max. 116m;14,09km2
48;Arras;Hauts-de-France;Pas-de-Calais;41019;3527;Arrageois;Min. 52m Max. 99m;11,63km2
49;Redessan;Occitanie;Gard;4115;264;Redessanais / Redessanaises;56m Min. 54m Max. 76m;15,57km2
50;Montpellier;Occitanie;Hérault;285121;5013;Montpelliérain;Min. 8[2]m Max. 119[3]m;56,88km2
51;Sète;Occitanie;Hérault;43229;1786;Sétois;Min. 0m Max. 176m;24,21km2
52;Agde;Occitanie;Hérault;28609;562;Agathois, Agathoise;Min. 0m Max. 110m;50,90km2
53;Béziers;Occitanie;Hérault;77177;808;Biterrois;17m Min. 4m Max. 120m;95,48km2
54;Narbonne;Occitanie;Aude;54700;316;Narbonnais;Min. 0m Max. 285m;172,96km2
55;Perpignan;Occitanie;Pyrénées-Orientales;120158;1765;Perpignanais;30m Min. 8m Max. 100m;68,07km2
56;Lille;Hauts-de-France;Nord;232787;6745;Lillois;Min. 18m Max. 46m;34,51km2
57;Montbard;Bourgogne-Franche-Comté;Côte-d'Or;5160;111;Montbardois;Min. 202m Max. 366m;46,37km2
58;Douai;Hauts-de-France;Nord;39700;2349;Douaisiens[1].;Min. 16m Max. 38m;16,90km2
59;Massy;Île-de-France;Essonne;50833;5391;Massicois;Min. 55m Max. 110m;9,43km2
60;Saint-Pierre-des-Corps;Centre-Val de Loire;Indre-et-Loire;15838;1404;Corpopétrussiens;Min. 46m Max. 51m;11,28km2
61;Poitiers;Nouvelle-Aquitaine;Vienne;88291;2097;Poitevin, Poitevine;Min. 65m Max. 144m;42,11km2
62;Angoulême;Nouvelle-Aquitaine;Charente;41740;1910;Angoumoisins;Min. 27m Max. 133m;21,85km2
63;Bordeaux;Nouvelle-Aquitaine;Gironde;254436;5155;Bordelais;Min. 1m Max. 42m;49,36km2
64;Le Mans;Pays de la Loire;Sarthe;142946;2707;Manceau, Mancelle;Min. 38m Max. 134m;52,81km2
65;Angers;Pays de la Loire;Maine-et-Loire;152960;3582;Angevins;Min. 12m Max. 64m;42,70km2
66;Nantes;Pays de la Loire;Loire-Atlantique;309346;4745;Nantaises et Nantais;Min. 2m Max. 52m;65,19km2
67;Rennes;Bretagne;Ille-et-Vilaine;216815;4303;Rennais;Min. 20m Max. 74m;50,39km2
68;Laval;Pays de la Loire;Mayenne;48 728;1770;Lavallois, oise;Min. 42m Max. 122m;24709ha=247,09km2
69;Le Havre;Normandie;Seine-Maritime;170147;3624;Havrais / Havraise;Min. 0m Max. 105m;46,95km2
70;Rouen;Normandie;Seine-Maritime;110145;5152;Rouennais;Min. 2m Max. 152m;21,38km2
71;Mantes-la-Jolie;Île-de-France;Yvelines;44299;4723;Mantais;34m Min. 17m Max. 41m;9,38km2
72;Versailles;Île-de-France;Yvelines;85862;3280;Versaillais;Min. 103m Max. 180m;26,18km2
73;Massy;Île-de-France;Essonne;50833;5391;Massicois;Min. 55m Max. 110m;9,43km2
74;Saumur;Pays de la Loire;Maine-et-Loire;26734;403;Saumurois;Min. 20m Max. 95m;66,35km2
75;Louvigny;Normandie;Calvados;2742;486;Loupiaciens;Min. 2m Max. 48m;5,64km2
76;Paris;Île-de-France;Paris;2187526;20755;Parisiens;78m Min. 28m Max. 131m;105,40km2
77;Hyères;Provence-Alpes-Côte d’Azur;Var;55588;420;Hyérois[1];Min. 0m Max. 364m;132,28km2
78;Colombier-Saugnieu;Auvergne-Rhône-Alpes;Rhône;2613;95;Colombards;Min. 200m Max. 277m;27,62km2
79;Menton;Provence-Alpes-Côte d’Azur;Alpes-Maritimes;28958;1703;Mentonnais ou Mentonasques;16m Min. 0m Max. 774m;17km2
80;Valence;Auvergne-Rhône-Alpes;Drôme;63714;1737;Valentinois;Min. 106m Max. 191m;36,69km2
81;Montélimar;Auvergne-Rhône-Alpes;Drôme;39097;835;Montiliens;Min. 56m Max. 213m;46,81km2
82;Orange;Provence-Alpes-Côte d’Azur;Vaucluse;28 919;390;Orangeois;Min. 24m Max. 127m;74 km2
83;Avignon;Provence-Alpes-Côte d’Azur;Vaucluse;91921;1419;Avignonnais;Min. 10m Max. 122m;64,78km2
84;Miramas;Provence-Alpes-Côte d’Azur;Bouches-du-Rhône;26470;1028;Miramasséen;49m Min. 0m Max. 125m;25,74km2
85;Mâcon;Bourgogne-Franche-Comté;Saône-et-Loire;33638;1246;Mâconnais, Mâconnaises;Min. 167m Max. 347m;27km2
86;Bourg-en-Bresse;Auvergne-Rhône-Alpes;Ain;41527;1740;Burgiens, Burgiennes;Min. 220m Max. 273m;23,86km2
87;Chambéry;Auvergne-Rhône-Alpes;Savoie;58919;2807;Chambérien/Chambérienne;Min. 245m Max. 560m;20,99km2
88;Valserhône;Auvergne-Rhône-Alpes;Ain;16423;263;Valserhônois et Valserhônoises;Min. 330m Max. 1606m;62,54km2
89;Annemasse;Auvergne-Rhône-Alpes;Haute-Savoie;35712;7171;Annemassiens;Min. 399m Max. 504m;4,98km2
90;Thonon-les-Bains;Auvergne-Rhône-Alpes;Haute-Savoie;34756;2144;Thononais;Min. 371m Max. 569m;16,21km2
91;Évian-les-Bains;Auvergne-Rhône-Alpes;Haute-Savoie;9098;2116;Évianais;Min. 372m Max. 772m;4,3km2
92;Saint-Jean-de-Maurienne;Auvergne-Rhône-Alpes;Savoie;7746;673;Saint-Jeannais;Min. 489m Max. 1200m;11,51km2
93;Modane;Auvergne-Rhône-Alpes;Savoie;3097;44;Modanais;Min. 1054m Max. 3560m;71,04km2
94;Saint-Étienne;Auvergne-Rhône-Alpes;Loire;172565;2158;Stéphanois;Min. 422m Max. 1117m;79,97km2
95;Dole;Bourgogne-Franche-Comté;Jura;24920;649;Dolois;Min. 196m Max. 341m;38,38km2
96;Besançon;Bourgogne-Franche-Comté;Doubs;115934;1782;Bisontins;Min. 235m Max. 620m;65,05km2
97;Carcassonne;Occitanie;Aude;46031;707;Carcassonnais;Min. 81m Max. 250m;65,08km2
98;Toulouse;Occitanie;Haute-Garonne;479553;4054;Toulousain;Min. 115m Max. 263m;118,30km2
99;Grenoble;Auvergne-Rhône-Alpes;Isère;158454;8740;Grenoblois;Min. 204m Max. 600m;18,13km2
100;Aix-les-Bains;Auvergne-Rhône-Alpes;Savoie;29794;2361;Aixois;Min. 224m Max. 524m;12,62km2
101;Annecy;Auvergne-Rhône-Alpes;Haute-Savoie;126924;1896;Annéciens, Annéciennes;Min. 396m Max. 1153m;66,94km2
102;Paris;Île-de-France;Paris;2187526;20755;Parisiens;78m Min. 28m Max. 131m;105,40km2
103;Fréthun;Hauts-de-France;Pas-de-Calais;1322;167;Fréthunois;Min. 0m Max. 60m;7,92km2
104;Boulogne-sur-Mer;Hauts-de-France;Pas-de-Calais;40874;4854;Boulonnais;Min. 0m Max. 110m;8,42km2
105;Calais;Hauts-de-France;Pas-de-Calais;73911;2206;Calaisiens, calaisiennes;Min. 0m Max. 18m;33,5km2
106;Dunkerque;Hauts-de-France;Nord;87353;1990;Dunkerquois;Min. 0m Max. 17m;43,89km2
107;Lens;Haut-de-France;Pas-de-Calais;31415;991;Lensois;Min 27m Max 71m;32 km2
108;Béthune;Hauts-de-France;Pas-de-Calais;24895;2640;Béthunois;Min. 18m Max. 42m;9,43km2
109;Hazebrouck;Hauts-de-France;Nord;21441;818;Hazebrouckois;Min. 17m Max. 66m;26,2km2
110;Étaples;Hauts-de-France;Pas-de-Calais;10865;839;Étaplois;Min. 2m Max. 78m;12,95km2
111;Verton;Hauts-de-France;Pas-de-Calais;2425;219;Vertonnois;Min. 2m Max. 53m;11,06km2
112;Wasquehal;Hauts-de-France;Nord;20479;2985;Wasquehaliens;Min. 18m Max. 47m;6,86km2
113;Roubaix;Hauts-de-France;Nord;96990;7331;Roubaisien, Roubaisienne;Min. 17m Max. 52m;13,23km2
114;Tourcoing;Hauts-de-France;Nord;97368;6410;Tourquennois, Tourquennoise;Min. 24m Max. 49m;15,19km2
115;Valenciennes;Hauts-de-France;Nord;43336;3131;Valenciennois;Min. 17m Max. 56m;13,84km2
116;Paris;Île-de-France;Paris;2187526;20755;Parisiens;78m Min. 28m Max. 131m;105,40km2
117;Agen;Nouvelle-Aquitaine;Lot-et-Garonne;33576;2922;Agenais;Min 37m Max 162m;11.49 km2
118;Montauban;Occitanie;Tarn-et-Garonne;60810;450;Montalbanais;Min. 72m Max. 207m;135,17km2
0;Guingamp;Bretagne;Côtes-d'Armor;6895;2022;Guingampais;Min. 62m Max. 126m;3,41km2
1;Morlaix;Bretagne;Finistère;14559;587;Morlaisiens;61m Min. 0m Max. 104m;24,82km2
2;Brest;Bretagne;Finistère;140064;2829;Brestois;Min. 0m Max. 103m;49,51km2
3;Lamballe-Armor;Bretagne;Côtes-d'Armor;16578;127;Lamballais, Lamballaise;Min. 0m Max. 131m;130,65km2
4;Plouaret;Bretagne;Côtes-d'Armor;2139;71;Plouarétais, Plouarétaise;Min. 84m Max. 190m;29,98km2
