destination;departure_date;arrival_date;duration;number_of_segments;price;currency;transportation_mean
87571240;01/05/2020 15:41;01/05/2020 16:11;00h30;1.0;41,0;EUR;train
87571240;01/05/2020 15:41;01/05/2020 16:11;00h30;1.0;18,0;EUR;train
87571240;01/05/2020 15:41;01/05/2020 16:11;00h30;1.0;20,0;EUR;train
87583005;01/05/2020 11:48;01/05/2020 12:29;00h41;1.0;18,5;EUR;train
87583005;01/05/2020 11:48;01/05/2020 12:29;00h41;1.0;20,5;EUR;train
87583005;01/05/2020 11:48;01/05/2020 12:29;00h41;1.0;43,0;EUR;train
87583005;01/05/2020 17:09;01/05/2020 18:20;01h11;1.0;20,6;EUR;train
87581009;01/05/2020 11:48;01/05/2020 13:07;01h19;1.0;77,0;EUR;train
87581009;01/05/2020 11:48;01/05/2020 13:07;01h19;1.0;36,0;EUR;train
87581009;01/05/2020 11:48;01/05/2020 13:07;01h19;1.0;34,0;EUR;train
87391003;01/05/2020 15:41;01/05/2020 17:13;01h32;1.0;118,0;EUR;train
87391003;01/05/2020 15:41;01/05/2020 17:13;01h32;1.0;51,0;EUR;train
87391003;01/05/2020 15:41;01/05/2020 17:13;01h32;1.0;55,0;EUR;train
87485003;01/05/2020 10:00;01/05/2020 11:33;01h33;1.0;25,6;EUR;train
87485227;01/05/2020 10:00;01/05/2020 11:10;01h10;1.0;20,8;EUR;train
87485300;01/05/2020 10:00;01/05/2020 10:48;00h48;1.0;15,1;EUR;train
87485490;01/05/2020 10:00;01/05/2020 10:33;00h33;1.0;11,3;EUR;train
