departure_code;arrival_code;price;category;flexibility;departure_date;arrival_date;type;train_number
FRPST;FRAEG;68.0;SECOND;CONDITIONAL_FLEXIBILITY;2020-05-21T07:20:00.000+02:00;2020-05-21T09:05:00.000+02:00;TGV_INOUI;9561
FRPST;FRAEG;72.0;FIRST;CONDITIONAL_FLEXIBILITY;2020-05-21T07:20:00.000+02:00;2020-05-21T09:05:00.000+02:00;TGV_INOUI;9561
FRPST;FRAEG;152.0;FIRST;FULL_FLEXIBILITY;2020-05-21T07:20:00.000+02:00;2020-05-21T09:05:00.000+02:00;TGV_INOUI;9561
FRPST;FRAEG;68.0;SECOND;CONDITIONAL_FLEXIBILITY;2020-05-21T10:55:00.000+02:00;2020-05-21T12:41:00.000+02:00;OTHER;9573
FRPST;FRAEG;72.0;FIRST;CONDITIONAL_FLEXIBILITY;2020-05-21T10:55:00.000+02:00;2020-05-21T12:41:00.000+02:00;OTHER;9573
FRPST;FRAEG;152.0;FIRST;FULL_FLEXIBILITY;2020-05-21T10:55:00.000+02:00;2020-05-21T12:41:00.000+02:00;OTHER;9573
FRPST;FRAEG;35.0;SECOND;CONDITIONAL_FLEXIBILITY;2020-05-21T11:09:00.000+02:00;2020-05-21T13:51:00.000+02:00;OUIGO;7691
FRPST;FRAEG;37.0;SECOND;CONDITIONAL_FLEXIBILITY;2020-05-21T11:09:00.000+02:00;2020-05-21T13:51:00.000+02:00;OUIGO;7691
FRPST;FRAEG;40.0;FIRST;CONDITIONAL_FLEXIBILITY;2020-05-21T11:09:00.000+02:00;2020-05-21T13:51:00.000+02:00;OUIGO;7691
FRPST;FRAEG;40.0;SECOND;CONDITIONAL_FLEXIBILITY;2020-05-21T11:09:00.000+02:00;2020-05-21T13:51:00.000+02:00;OUIGO;7691
FRPST;FRAEG;90.0;SECOND;CONDITIONAL_FLEXIBILITY;2020-05-21T13:54:00.000+02:00;2020-05-21T15:41:00.000+02:00;TGV_INOUI;9575
FRPST;FRAEG;102.0;FIRST;CONDITIONAL_FLEXIBILITY;2020-05-21T13:54:00.000+02:00;2020-05-21T15:41:00.000+02:00;TGV_INOUI;9575
FRPST;FRAEG;152.0;FIRST;FULL_FLEXIBILITY;2020-05-21T13:54:00.000+02:00;2020-05-21T15:41:00.000+02:00;TGV_INOUI;9575
FRPST;FRAEG;68.0;SECOND;CONDITIONAL_FLEXIBILITY;2020-05-21T15:20:00.000+02:00;2020-05-21T17:09:00.000+02:00;OTHER;9563
FRPST;FRAEG;72.0;FIRST;CONDITIONAL_FLEXIBILITY;2020-05-21T15:20:00.000+02:00;2020-05-21T17:09:00.000+02:00;OTHER;9563
FRPST;FRAEG;152.0;FIRST;FULL_FLEXIBILITY;2020-05-21T15:20:00.000+02:00;2020-05-21T17:09:00.000+02:00;OTHER;9563
FRPST;FRADE;41.0;SECOND;CONDITIONAL_FLEXIBILITY;2020-05-21T07:40:00.000+02:00;2020-05-21T09:04:00.000+02:00;TGV_INOUI;2803
