code_iata;code_uic;name;lat;lon
FRXYT;8761100;Toulouse Matabiau;43,6112;1,453616
FRGNB;8774700;Grenoble;45,1915;5,714584
FRPLY;8768600;Paris Gare de Lyon;48,8449;2,37352
FRMLT;8772570;Mâcon—Loché TGV;46,2829;4,778876
FRNCY;8774600;Annecy;45,9020;6,121835
FRXAI;8774113;Aix-les-Bains—Le Revard;45,6882;5,909371
FRCMF;8774100;Chambéry Challes-les-Eaux;45,5713;5,919547
FRPNO;8727100;Paris Gare du Nord;48,8802;2,355151
FRXVS;8734300;Valenciennes;50,3633;3,517115
FRQRV;8734201;Arras;50,2867;2,781942
FRLLE;8722326;Lille-Europe;50,6392;3,075796
FRADI;8728100;Dunkerque;51,0305;2,368961
FRACR;8747840;Laval;48,0762;-0,76
FRRNS;8747100;Rennes;48,1035;-1,672744
FRAET;8739600;Le Mans;47,9950;0,19014
FRPMO;8739100;Paris Montparnasse;48,8412;2,320514
FRXVT;8747150;Vitré;48,1227;-1,211754
FRACL;8748400;Angers St-Laud;47,4646;-0,55682
FRNTE;8748100;Nantes;47,2161;-1,542356
FRAFW;8757100;Tours;47,3898;0,693703
FRESL;8757121;Vendôme—Villiers-sur-Loir;47,8219;1,021143
FRXCX;8757514;Châtellerault;46,8186;0,549279
FRXSH;8757124;St-Pierre-des-Corps;47,3861;0,72355
FREIP;8748522;Surgères;46,1132;-0,762284
FRNIT;8748530;Niort;46,3195;-0,454639
FRLRH;8748500;La Rochelle Ville;46,1527;-1,145305
FREJC;8748549;St-Maixent;46,4066;-0,201073
FRPIS;8757500;Poitiers;46,5823;0,333241
FRDJU;8739370;Massy TGV;48,7258;2,261254
FRBOJ;8758100;Bordeaux St-Jean;44,8259;-0,556697
FRFAC;8758247;Facture—Biganos;44,6374;-0,96621
FRXAC;8758266;Arcachon;44,6590;-0,116523
FRAGF;8758600;Agen;44,2083;0,620932
FRACG;8767320;Dax;43,7205;-1,050301
FRAEF;8767700;Hendaye;43,3531;-1,781724
FRXBY;8767300;Bayonne;43,4968;-1,470306
FRXJZ;8767712;St-Jean-de-Luz—Ciboure;43,3858;-0,166122
FRBIQ;8767340;Biarritz;43,4594;-1,545915
FRAEE;8767200;Pau;43,2918;-0,369626
FRLDE;8767133;Lourdes;43,1004;-0,042174
FRGFI;8767225;Orthez;43,4842;-0,76776
FRXTB;8767100;Tarbes;43,2400;0,069415
FRBES;8747400;Brest;48,3881;-4,478903
FRGGP;8747320;Guingamp;48,5557;-3,143343
FRMXN;8747433;Morlaix;48,5780;-3,832514
FRSBK;8747300;St-Brieuc;48,5076;-2,765
FRLAM;8747310;Lamballe;48,4661;-2,511546
FRPLT;8747318;Plouaret—Trégor;48,6063;-3,4668231
FRXLD;8747423;Landerneau;48,4536;-4,256528
FRLAI;8747322;Lannion;48,7276;-3,460353
FRVNE;8747660;Vannes;47,6652;-2,75245
FRXRN;8747130;Redon;47,6520;-2,08777
FRXUY;8747620;Auray;47,6802;-2,999995
FRLRT;8747600;Lorient;47,7556;-3,366221
FRUIP;8747409;Quimper;47,9945;-4,092103
FRRSP;8747415;Rosporden;47,9603;-3,832763
FRECO;8747631;Quimperlé;47,8694;-3,552693
FRSAB;8739640;Sablé-sur-Sarthe;47,8416;-0,3419359
FREGU;8748178;Le Croisic;47,2898;-2,507442
FRJEE;8748175;La Baule-Escoublac;47,2887;-2,389102
FRSNR;8748170;St-Nazaire;47,2864;-2,211096
FREGS;8748176;Le Pouliguen;47,2825;-2,4331446
FRXRO;8748601;La Roche-sur-Yon;46,6721;-1,435621
FRLPD;8772319;Lyon Part-Dieu;45,7606;4,859355
FRMLW;8727149;Aéroport Paris Roissy Charles de Gaulle CDG T2;49,0037;2,570892
