error_code;departure_code;destination_code
404;FRAEG;FRMSC
404;FRAEJ;FRMSC
404;FRXSQ;FRMSC
404;FREAH;FRBFO
404;FRADE;FRMSC
404;FRXTH;FRMSC
404;FRLPE;FRXSY
404;FRLPD;FRXSY
404;FRXCC;FREAH
404;FRMLV;FRMSC
404;FRENC;FRMSC
404;FRAEK;FRMSC
404;FRTJA;FRMSC
404;FRTJB;FRMSC
404;FRABA;FRMSC
404;FRHGU;FRMSC
404;FRFNI;FRPGF
404;FRMPL;FRPGF
404;FRMSC;FRTHP
404;FRXCD;FRMSC
404;FRVLA;FRPGF
404;FRXBV;FRMSC
404;FRNIC;FRTHP
404;FRXAT;FRTHP
404;FRJCA;FRTHP
404;FRXSK;FRTHP
404;FRXRS;FRTHP
404;FRTLN;FRTHP
404;FRXCR;FREAH
404;FRBFO;FREAH
404;FRLLE;FRMSC
404;FRTHP;FRMSC
404;FRCDG;FRMSC
404;FRQRV;FRTHP
404;FRXZP;FRXSY
404;FRSUF;FRXSY
404;FRXSY;FRMPL
404;FRXAG;FRMPL
404;FRBZR;FRMPL
404;FRXNA;FRMPL
404;FRPGF;FRMPL
404;FRADJ;FRMSC
404;FRXDN;FRMSC
404;FRDJU;FRMSC
404;FRXSH;FRMSC
404;FRANG;FRFCJ
404;FRBOJ;FRFCJ
404;FRAET;FRTHP
404;FRACL;FRMSC
404;FRNTE;FRTHP
404;FRRNS;FRCDG
404;FRACR;FRTHP
404;FRAEZ;FRMSC
404;FRURD;FRMSC
404;FRMTE;FRDHT
404;FRDHT;FRMTE
404;FRMPU;FRMSC
404;FRACN;FRXZP
404;FREAM;FRTHP
404;FRPLY;FRPGF
404;FRJDQ;FRTHP
404;FRXMK;FRJDQ
404;FRXOG;FRJDQ
404;FRMAZ;FRPLY
404;FRCCF;FRLPD
404;FRXYT;FRXZP
404;FRPNO;FRCKH
404;FRCKH;FRADM
404;FRADP;FRCKH
404;FRADM;FRCKH
404;FRXVS;FRXLE
404;FRPMO;FRFCJ
404;FREGS;FRJEE
404;FRFAC;FRFCJ
404;FRXAC;FRFCJ
404;FRFCJ;FRXAC
404;FRXLR;FRXCX
